setup,n_digits,pairs_seen,train_time_s,sum_acc,digit_acc,loss
dpl_exact_n2,2,0,0.0,0.12,17.49,
dpl_exact_n2,2,1500,107.44,57.12,86.09,44.8979
dpl_exact_n2,2,3000,135.53,60.88,87.48,
dpl_exact_n2,2,4500,159.23,85.64,96.15,29.5092
dpl_exact_n2,2,6000,181.52,82.48,95.23,
dpl_exact_n2,2,7500,204.32,89.36,97.25,19.3632
dpl_exact_n2,2,9000,224.84,82.84,95.27,
dpl_exact_n2,2,10500,245.58,84.48,95.73,13.946
dpl_exact_n2,2,12000,266.27,79.36,94.11,
dpl_exact_n2,2,13500,286.54,84.08,95.51,15.0596
dpl_exact_n2,2,15000,307.35,91.2,97.64,
