setup,n_digits,pairs_seen,train_time_s,sum_acc,digit_acc,loss
neurasp_n2,2,0,0.0,0.12,17.49,
neurasp_n2,2,1500,11.13,76.92,93.58,
neurasp_n2,2,3000,20.56,85.4,96.06,
neurasp_n2,2,4500,30.0,88.52,96.96,
neurasp_n2,2,6000,40.61,87.64,96.71,
neurasp_n2,2,7500,50.27,85.68,96.23,
neurasp_n2,2,9000,60.06,91.64,97.83,
neurasp_n2,2,10500,68.97,89.76,97.29,
neurasp_n2,2,12000,77.92,91.28,97.73,
neurasp_n2,2,13500,86.13,90.48,97.45,
neurasp_n2,2,15000,94.23,92.52,98.07,
