setup,n_digits,pairs_seen,train_time_s,sum_acc,digit_acc,loss
neurasp_n3,3,0,0.0,0.0,17.49,
neurasp_n3,3,1500,52.31,71.729,94.48,
neurasp_n3,3,3000,96.15,79.952,96.28,
neurasp_n3,3,4500,140.42,84.574,97.17,
neurasp_n3,3,6000,185.38,87.995,97.85,
neurasp_n3,3,7500,229.14,87.215,97.7,
neurasp_n3,3,9000,272.85,89.016,98.02,
neurasp_n3,3,10000,302.11,86.194,97.54,
