setup,n_digits,pairs_seen,train_time_s,sum_acc,digit_acc,loss
neurasp_n1,1,0,0.0,3.28,17.49,
neurasp_n1,1,1500,4.53,83.88,91.41,
neurasp_n1,1,3000,9.99,90.6,95.1,
neurasp_n1,1,4500,14.67,91.66,95.74,
neurasp_n1,1,6000,19.05,92.58,96.19,
neurasp_n1,1,7500,23.24,90.76,95.28,
neurasp_n1,1,9000,27.57,94.18,96.99,
neurasp_n1,1,10500,31.22,93.4,96.63,
neurasp_n1,1,12000,34.91,94.36,97.15,
neurasp_n1,1,13500,38.26,94.92,97.44,
neurasp_n1,1,15000,41.98,95.08,97.45,
